2023-09-12 20:00:07,581 INFO    StreamThr :132372 [internal.py:wandb_internal():86] W&B internal server running at pid: 132372, started at: 2023-09-12 20:00:07.580590
2023-09-12 20:00:07,582 DEBUG   HandlerThread:132372 [handler.py:handle_request():144] handle_request: status
2023-09-12 20:00:07,584 INFO    WriterThread:132372 [datastore.py:open_for_write():85] open: /home/zhihao/A2SP/rllib_A2SP/wandb/run-20230912_200007-z08gwsh5/run-z08gwsh5.wandb
2023-09-12 20:00:07,585 DEBUG   SenderThread:132372 [sender.py:send():379] send: header
2023-09-12 20:00:07,585 DEBUG   SenderThread:132372 [sender.py:send():379] send: run
2023-09-12 20:00:09,982 INFO    SenderThread:132372 [dir_watcher.py:__init__():211] watching files in: /home/zhihao/A2SP/rllib_A2SP/wandb/run-20230912_200007-z08gwsh5/files
2023-09-12 20:00:09,982 INFO    SenderThread:132372 [sender.py:_start_run_threads():1121] run started: z08gwsh5 with start time 1694520007.580484
2023-09-12 20:00:09,986 DEBUG   HandlerThread:132372 [handler.py:handle_request():144] handle_request: check_version
2023-09-12 20:00:09,986 DEBUG   SenderThread:132372 [sender.py:send_request():406] send_request: check_version
2023-09-12 20:00:11,610 DEBUG   HandlerThread:132372 [handler.py:handle_request():144] handle_request: run_start
2023-09-12 20:00:11,632 DEBUG   HandlerThread:132372 [system_info.py:__init__():32] System info init
2023-09-12 20:00:11,632 DEBUG   HandlerThread:132372 [system_info.py:__init__():47] System info init done
2023-09-12 20:00:11,632 INFO    HandlerThread:132372 [system_monitor.py:start():181] Starting system monitor
2023-09-12 20:00:11,632 INFO    SystemMonitor:132372 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-12 20:00:11,633 INFO    HandlerThread:132372 [system_monitor.py:probe():201] Collecting system info
2023-09-12 20:00:11,633 INFO    SystemMonitor:132372 [interfaces.py:start():190] Started cpu monitoring
2023-09-12 20:00:11,634 INFO    SystemMonitor:132372 [interfaces.py:start():190] Started disk monitoring
2023-09-12 20:00:11,634 INFO    SystemMonitor:132372 [interfaces.py:start():190] Started gpu monitoring
2023-09-12 20:00:11,635 INFO    SystemMonitor:132372 [interfaces.py:start():190] Started memory monitoring
2023-09-12 20:00:11,637 INFO    SystemMonitor:132372 [interfaces.py:start():190] Started network monitoring
2023-09-12 20:00:11,651 DEBUG   HandlerThread:132372 [system_info.py:probe():196] Probing system
2023-09-12 20:00:11,653 DEBUG   HandlerThread:132372 [system_info.py:_probe_git():181] Probing git
2023-09-12 20:00:11,656 DEBUG   HandlerThread:132372 [system_info.py:_probe_git():189] Probing git done
2023-09-12 20:00:11,656 DEBUG   HandlerThread:132372 [system_info.py:probe():244] Probing system done
