2023-09-12 21:23:38,319 INFO    StreamThr :260731 [internal.py:wandb_internal():86] W&B internal server running at pid: 260731, started at: 2023-09-12 21:23:38.319464
2023-09-12 21:23:38,320 DEBUG   HandlerThread:260731 [handler.py:handle_request():144] handle_request: status
2023-09-12 21:23:38,323 INFO    WriterThread:260731 [datastore.py:open_for_write():85] open: /home/zhihao/A2SP/rllib_A2SP/wandb/run-20230912_212338-hd9g7xac/run-hd9g7xac.wandb
2023-09-12 21:23:38,323 DEBUG   SenderThread:260731 [sender.py:send():379] send: header
2023-09-12 21:23:38,323 DEBUG   SenderThread:260731 [sender.py:send():379] send: run
2023-09-12 21:23:39,758 INFO    SenderThread:260731 [dir_watcher.py:__init__():211] watching files in: /home/zhihao/A2SP/rllib_A2SP/wandb/run-20230912_212338-hd9g7xac/files
2023-09-12 21:23:39,758 INFO    SenderThread:260731 [sender.py:_start_run_threads():1121] run started: hd9g7xac with start time 1694525018.319305
2023-09-12 21:23:39,762 DEBUG   HandlerThread:260731 [handler.py:handle_request():144] handle_request: check_version
2023-09-12 21:23:39,762 DEBUG   SenderThread:260731 [sender.py:send_request():406] send_request: check_version
2023-09-12 21:23:41,041 DEBUG   HandlerThread:260731 [handler.py:handle_request():144] handle_request: run_start
2023-09-12 21:23:41,065 DEBUG   HandlerThread:260731 [system_info.py:__init__():32] System info init
2023-09-12 21:23:41,065 DEBUG   HandlerThread:260731 [system_info.py:__init__():47] System info init done
2023-09-12 21:23:41,065 INFO    HandlerThread:260731 [system_monitor.py:start():181] Starting system monitor
2023-09-12 21:23:41,065 INFO    SystemMonitor:260731 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-12 21:23:41,065 INFO    HandlerThread:260731 [system_monitor.py:probe():201] Collecting system info
2023-09-12 21:23:41,066 INFO    SystemMonitor:260731 [interfaces.py:start():190] Started cpu monitoring
2023-09-12 21:23:41,066 INFO    SystemMonitor:260731 [interfaces.py:start():190] Started disk monitoring
2023-09-12 21:23:41,067 INFO    SystemMonitor:260731 [interfaces.py:start():190] Started gpu monitoring
2023-09-12 21:23:41,069 INFO    SystemMonitor:260731 [interfaces.py:start():190] Started memory monitoring
2023-09-12 21:23:41,070 INFO    SystemMonitor:260731 [interfaces.py:start():190] Started network monitoring
2023-09-12 21:23:41,080 DEBUG   HandlerThread:260731 [system_info.py:probe():196] Probing system
2023-09-12 21:23:41,081 DEBUG   HandlerThread:260731 [system_info.py:_probe_git():181] Probing git
2023-09-12 21:23:41,085 DEBUG   HandlerThread:260731 [system_info.py:_probe_git():189] Probing git done
2023-09-12 21:23:41,085 DEBUG   HandlerThread:260731 [system_info.py:probe():244] Probing system done
